56,108
1,0.0,0.0,0.0
2,2.0,0.0,0.0
3,2.0,2.0,0.0
4,0.0,2.0,0.0
5,0.0,0.0,2.0
6,2.0,0.0,2.0
7,2.0,2.0,2.0
8,0.0,2.0,2.0
9,1.0,0.0,2.5
10,2.0,0.0,2.0
11,2.0,1.0,2.5
12,1.0,2.0,2.5
13,0.5,0.5,0.0
14,1.5,0.5,0.0
15,1.5,1.5,0.0
16,0.5,1.5,0.0
17,0.5,0.5,2.0
18,1.5,0.5,2.0
19,1.5,1.5,2.0
20,0.5,1.5,2.0
21,1.0,0.0,1.0
22,2.0,0.0,1.0
23,2.0,1.0,1.0
24,1.0,2.0,1.0
25,0.0,1.0,1.0
26,0.0,1.0,2.0
27,2.0,1.0,0.0
28,1.0,2.0,0.0
29,1.0,0.0,0.0
30,0.0,1.0,0.0
31,1.0,1.0,2.8
32,1.5,0.5,2.4
33,1.5,1.5,2.4
34,0.5,1.5,2.4
35,0.5,0.5,2.4
36,2.5,0.0,1.0
37,2.5,1.0,1.0
38,2.5,2.0,1.0
39,2.0,2.5,1.0
40,1.0,2.5,1.0
41,0.0,2.5,1.0
42,-0.5,1.0,1.0
43,-0.5,0.0,1.0
44,1.0,-0.5,1.0
45,2.0,-0.5,1.0
46,1.5,0.5,1.5
47,1.5,1.5,1.5
48,0.5,1.5,1.5
49,0.5,0.5,1.5
50,1.0,1.0,1.0
51,1.0,1.0,0.5
52,1.0,0.5,1.5
53,1.5,1.0,1.5
54,1.0,1.5,1.5
55,0.5,1.0,1.5
56,1.0,1.0,2.0
1,2,13
2,3,14
3,4,15
4,1,16
5,6,17
6,7,18
7,8,19
8,5,20
9,10,31
10,11,32
11,12,33
12,9,34
13,14,51
14,15,51
15,16,51
16,13,51
17,18,56
18,19,56
19,20,56
20,17,56
21,22,23
22,23,36
23,24,37
24,25,38
25,26,39
26,21,40
27,28,41
28,29,42
29,30,43
30,27,44
31,32,33
32,33,34
33,34,35
34,35,31
36,37,38
37,38,39
38,39,40
39,40,41
40,41,42
41,42,43
42,43,44
43,44,45
46,47,50
47,48,50
48,49,50
49,46,50
52,53,56
53,54,56
54,55,56
55,52,56
1,13,29
2,14,27
3,15,28
4,16,30
5,17,26
6,18,23
7,19,24
8,20,25
9,31,35
10,32,46
11,33,47
12,34,48
13,51,52
14,51,53
15,51,54
16,51,55
17,56,49
18,56,46
19,56,47
20,56,48
21,50,52
22,50,53
23,50,54
24,50,55
25,50,49
26,50,46
27,50,47
28,50,48
29,50,52
30,50,55
31,56,35
32,56,46
33,56,47
34,56,48
35,56,49
36,37,45
37,38,45
38,39,45
39,40,45
40,41,45
41,42,45
42,43,45
43,44,45
46,47,53
47,48,54
48,49,55
49,46,52
52,53,50
53,54,50
54,55,50
55,52,50
1,29,44
2,27,45
3,28,38
4,30,41
5,26,42
6,23,36
7,24,39
8,25,43
9,35,49
10,46,36
11,47,37
12,48,40
